username,UID,GID
epnhw,11000,10000
epnnm,11001,10000
epnld,11002,10000
epndn,11003,10000
epnut,11004,10000
epntu,11005,10000
epnro,11006,10000
epnbp,11007,10000
epnct,11008,10000
epnlk,11009,10000
epndr,11010,10000
epntd,11011,10000
epnla,11012,10000
epnkc,11013,10000
epnph,11014,10000
epnmh,11015,10000
epncp,11016,10000
epncc,11017,10000
epnpv,11018,10000
epntt,11019,10000
epncy,11020,10000
epnmiljs,11021,10000
epnnypdig,11022,10000
epncharobsvr,11023,10000
epnzz,11024,10000
wsjelondon,11025,10000
wsjeswitzerland,11026,10000
wsjefrankfurt,11027,10000
epnhi,11028,10000
epnlalab,11029,10000
epnmhlab,11030,10000
epnkclab,11031,10000
epncplab,11032,10000
epnpvlab,11033,10000
epnphlab,11034,10000
epntopweb,11035,10000
epnokla,11036,10000
epnjoureg,11037,10000
epnck,11038,10000
epnwo,11039,10000
epnlg,11040,10000
epnbg,11041,10000
epnhl,11042,10000
epnbm,11043,10000
epnfw,11044,10000
epnbatrouge,11045,10000
epnhouchron,11046,10000
epnupseast,11047,10000
epnfl,11048,10000
epnwilmington,11049,10000
epnnytimes,11050,10000
epndetroit,11051,10000
epnindy,11052,10000